Problem,annotated_formula
"tomeka is playing a dice game . if she rolls the same number on her second roll as she rolls on her first , she wins . each roll is with two , fair , number0 - sided dice . if tomeka rolled a number1 on her first roll , what is the probability that she will win on her second roll ?","/(number0, *(number0, number0))"
"into a bag there are number1 honey and number0 cherry candies . if a boy pick only two candies simultaneous and randomly , what is the probability that he picks one candy of each flavor ?","*(*(/(number1, +(number1, number0)), /(number0, +(number1, number0))), 2)"
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is number2 / number3 and picking a straight flower is number0 / number1 , then what is the probability of picking a flower which is yellow and curved","*(-(1, /(number2, number3)), /(number0, number1))"
"a player holds number3 cards of number0 suits , of which number2 are black and number1 are red . there are twice as many diamonds as spades and twice as many hearts as diamonds . how many clubs does he hold","-(number2, /(-(number3, number2), +(number0, 2)))"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(number0, number0), -(*(number1, 2), 1))), /(-(*(number0, number0), 2), *(number0, number0))), /(-(-(*(number0, number0), 2), 2), -(*(number0, number0), 1)))"
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed number0 times , what is the probability that it will land on the same side each time ?","/(1, ^(2, number0))"
"a bag consists of number2 marbles , of which number0 are blue , number1 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?","/(+(-(number2, +(number0, number1)), number1), number2)"
"what is the probability that a number selected from number number0 to number1 is prime number , when each of the given numbers is equally likely to be selected ?","/(*(const_5, 2), number1)"
find the probability that a leap year selected at random will not have number0 sundays,"/(2, +(3, 4))"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what is the probability that the extracted ball would turn on to be white , if all possible hypothesis concerning the color of theballs that initiallyin the bag were equally possible ?","/(+(number0, +(/(number0, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
three number0 faced dice are thrown together . the probability that all the three show the same number on them is -,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
three number0 faced dice are thrown together . the probability that all the three show the same number on them is - .,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a club and the second card is a king or queen ?","*(/(+(*(3, 4), 1), const_52), /(2, const_52))"
a card is drawn from a pack of number0 cards . the probability of not getting a face card ?,"/(-(number0, *(4, 4)), number0)"
"potato chips are on sale , buy number1 get number0 free . there are only number5 bags of chips left ( number3 plain and number4 bbq ) . a shopper randomly grabs number2 bags . what is the probability the shopper will grab exactly number2 bags of bbq chips ?","*(/(-(-(number4, 1), 1), -(-(number5, 1), 1)), *(/(number4, number5), /(-(number4, 1), -(number5, 1))))"
there are two bags a and b . a contains number2 red flowers and number1 pink flowers . where as bag b contains number0 red flowers and number3 pink flowers . one flower is chosen from a bag randomly . what is the probability that the flower chosen is pink ?,"*(+(/(3, +(number2, number1)), /(number3, +(number3, number0))), /(1, 2))"
"a certain junior class has number1,000 students and a certain senior class has number4 students . among these students , there are number3 siblings pairs , each consisting of number1 junior and number1 senior . if number1 student is to be selected at random from each class , what is the probability that the number2 students selected at will be a sibling pair ?","/(number1, 3)"
a card is drawn from a pack of number0 cards . the probability of getting a queen club or a king of heart ?,"/(-(number0, *(4, 4)), number0)"
find the probability that a leap year chosen at random will have number0 sundays,"/(2, +(3, 4))"
"there is a number0 % chance sandy will visit china this year , while there is a number1 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","/(+(number0, number1), *(*(const_5, const_5), 4))"
"if a card is drawn from a well shuffled deck of cards , what is the probability of drawing a black card or a face card ?","+(/(3, const_52), /(/(const_52, 4), const_52))"
"if you keep rolling a pair of dice together till a sum of number0 or number1 is obtained , then what is the probability that a sum of number0 comes before a sum of number1 ?","/(4, +(4, 6))"
a card is drawn from a pack of number0 cards . the probability of ge ƫ ng a queen of club or a king of heart is,"/(-(number0, *(4, 4)), number0)"
"what is the probability that carol and bernie will get selected for a job they both applied for in a company , given that their chances of getting selected is number1 / number2 and number0 / number2 respectively ?","*(/(number1, number2), /(number0, number2))"
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is ?","+(/(3, const_52), /(/(const_52, 4), const_52))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
seven number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability z that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
"from a pack of number1 cards , number0 card is drawn at random . find the probability of a face card drawn .","/(*(4, 3), number1)"
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed number1 times , what is the probability that it will land on either side all number1 times ?","/(1, ^(2, 4.number0))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
what is the probability that a two digit number selected at random will be a multiple of ' number0 ' and not a multiple of ' number1 ' ?,"/(-(*(*(number1, 2), number0), *(number0, 2)), *(*(number1, 2), *(number0, number0)))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
in a throw of a coin probability of getting a head .,"/(1, 2)"
"how many positive integers less than number4 can be formed using the numbers number0 , number1,number2 , and number3 for digits , each digit being used only once .","-(-(-(number4, number0), 4), 1)"
find the probability that a leap year selected at random will have number0 sundays,"/(2, +(3, 4))"
what is the probability that company g ' s advertisement will be one of the first two be shown during the first commercial break ?,"/(2, *(3, const_5))"
"the maitre ' d at an expensive manhattan restaurant has noticed that number1 % of the couples order dessert and coffee . however , number0 % of the couples who order dessert do n ' t order coffee . what is the probability y that the next couple the maitre ' d seats will not order dessert ?","*(-(1, /(/(number1, *(*(2, const_5), *(2, const_5))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))), *(*(2, const_5), *(2, const_5)))"
"what is the probability that the sum of two dice will yield a number2 , and then when both are thrown again , their sum will again yield a number2 ? assume that each die has number1 sides with faces numbered number0 to number1 .","*(/(number1, ^(number1, 2)), /(number1, ^(number1, 2)))"
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is number1 / number2 and picking a straight flower is number0 / number1 , then what is the probability of picking a flower which is yellow and straight","*(-(number0, /(number1, number2)), /(number0, number1))"
in a throw of a coin find the probability of getting a head ?,"/(1, 2)"
"the maitre ' d at an expensive manhattan restaurant has noticed that number1 % of the couples order dessert and coffee . however , number0 % of the couples who order dessert do n ' t order coffee . what is the probability r that the next couple the maitre ' d seats will not order dessert ?","*(-(1, /(/(number1, *(*(2, const_5), *(2, const_5))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))), *(*(2, const_5), *(2, const_5)))"
in a throw of dice what is the probability of ge æ « ing number greater than number0,"/(-(6, number0), 6)"
"the membership of a committee consists of number1 english teachers , number0 mathematics teachers , and number0 social studies teachers . if number0 committee members are to be selected at random to write the committee ’ s report , what is the probability that the two members selected will both be english teachers ?","*(/(number1, +(+(number1, number0), number0)), /(number0, -(+(+(number1, number0), number0), 1)))"
"two cards are drawn together from a pack of number0 cards . the probability that one is a spade and one is a heart , is :","*(/(*(/(number0, 4), /(number0, 4)), *(number0, number0)), 2)"
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every number0 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in number1 attempts ?","-(1, ^(/(1, number0), number1))"
"how many different pairs of numbers ( s , t ) such that s = number3 t can be obtained if s and t are selected from the set of number { number0 , number1 , number2 , number3 , number4 , number5 , number6 , number7 , number8 , number9 , number10 , number11 , number12 }","+(/(number12, number3), 1)"
"a bag consists of number2 marbles , of which number0 are blue , number1 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?","/(+(-(number2, +(number0, number1)), number1), number2)"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
"from a pack of number1 cards , number0 card is drawn at random . find the probability of a face card drawn","/(*(4, 3), number1)"
there is a number1 % chance that tigers will not win at all during the whole season . there is a number0 % chance that germany will not play at all in the whole season . what is the greatest possible probability that the tigers will win and germany will play during the season ?,"*(-(1, /(number0, *(*(2, const_5), *(2, const_5)))), -(1, /(number1, *(*(2, const_5), *(2, const_5)))))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
"a jar contains number1 black and number0 white balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","*(/(number1, +(number1, number0)), /(number0, -(+(number1, number0), 1)))"
"if a coin is flipped , the probability that the coin will land heads is number0 / number1 . if the coin is flipped number2 times , what is the probability that it will land heads up on all number2 flips ?","/(number0, ^(number1, number2))"
a jar contains number3 balls . number1 blue balls are removed from the jar and not replaced . now the probability of getting a blue ball is number0 / number2 then how many blue balls jar contains initially ?,"+(number1, *(-(number3, number1), /(number0, number2)))"
"there are number3 balls in a jar . you take out number1 blue balls without putting them back inside , and now the probability of pulling out a blue ball is number0 / number2 . how many blue balls were there in the beginning ?","+(/(-(number3, number1), number2), number1)"
there are number0 students named alphabetically from a to j . what is the probability that a and d do not sit together if all number0 sit around a circular table ?,"-(1, /(2, number0))"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(number0, number0), -(*(number1, 2), 1))), /(-(*(number0, number0), 2), *(number0, number0))), /(-(-(*(number0, number0), 2), 2), -(*(number0, number0), 1)))"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what is the probability that the extracted ball would turn on to be white , if all possible hypothesis concerning the color of the balls that initiallyin the bag wereequally possible ?","/(+(number0, +(/(number0, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
"in a single throw of a die , what is the probability of getting a number greater than number0 ?","/(2, +(number0, 2))"
"if a certain coin is flipped , the probability that the coin will land heads is number0 / number1 . if the coin is flipped number3 times , what is the probability that it will land heads up on the first flip but not on the last number2 flips ?","^(/(number0, number1), number3)"
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a number3 / number4 probability that task number0 will be completed on time , and a number2 / number3 probability that task number1 will be completed on time . on a certain day , what is the probability that task number0 will be completed on time , but task number1 will not ?","*(/(number3, number4), -(1, /(number2, number3)))"
a coin is tossed six times . what is the probability that there is at the least one tail ?,"*(*(/(1, 2), *(*(*(/(1, 2), /(1, 2)), /(1, 2)), /(1, 2))), 1)"
"a jar contains number1 black and number0 white balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","*(/(number1, +(number1, number0)), /(number0, -(+(number1, number0), 1)))"
"a certain junior class has number0,number3 students and a certain senior class has number4 students . among these students , there are number2 siblings pairs , each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected at will be a sibling pair ?","/(number0, 3)"
"a box contains number2 balls , numbered from number0 to number2 . if number1 balls are selected at random and with replacement from the box . if the number1 numbers on the balls selected contain two odd and one even . what is the probability j that the first ball picked up is odd numbered ?","/(2, number1)"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
five number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
six number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
"if you roll one fair number1 - sided die , what is the probability that the number is even or less than number0 ?","+(/(3, number1), /(1, number1))"
"the probability that event a occurs is number0.number1 , and the probability that event b occurs is number0.number3 . if the probability that either event a or event b occurs is number0.number2 , what is the probability that event b and event b will occur ?","-(+(number0.number2, number0.number3), number0.number1)"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what is the probability that the extracted ball would turnon to be white , if all possible hypothesis concerning thecolor of theballs that initiallyin the bag were equally possible ?","/(+(number0, +(/(1, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a number2 / number4 probability that task number0 will be completed on time , and a number2 / number3 probability that task number1 will be completed on time . on a certain day , what is the probability that task number0 will be completed on time , but task number1 will not ?","*(/(number2, number4), -(1, /(number2, number2)))"
"a certain junior class has number4 students and a certain senior class has number3 students . among these students , there are number2 siblings pairs each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected will be a sibling pair ?","/(number0, 3)"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
"how many positive integers less than number5 can be formed using the numbers number0 , number1 , number2 , number3 and number4 for the digits ?","-(-(-(number5, number0), 4), 1)"
"find the probability that a number selected from numbers number0 , number1 , number2 , . . . , number3 is a prime number , when each of the given numbers is equally likely to be selected ?","/(*(number2, const_5), number3)"
"a coin is tossed twice if the coin shows head it is tossed again but if it shows a tail then a die is tossed . if number1 possible outcomes are equally likely . find the probability that the die shows a number greater than number0 , if it is known that the first throw of the coin results in a tail","/(/(2, number1), /(6, number1))"
"what is the probability that jamie and tom will get selected for a job they both applied for in a company , given that their chances of getting selected is number0 / number1 and number2 / number3 respectively ?","*(/(number0, number1), /(number2, number3))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
"a certain junior class has number4 students and a certain senior class has number3 students . among these students , there are number2 siblings pairs each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected will be a sibling pair ?","/(number0, 3)"
there is a number0 % chance that tigers will not win at all during the whole season . there is a number0 % chance that federer will not play at all in the whole season . what is the greatest possible probability that the tigers will win and federer will play during the season ?,"*(-(1, /(number0, *(*(2, const_5), *(2, const_5)))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))"
"a jar contains number1 black and number0 white balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","*(/(number1, +(number1, number0)), /(number0, -(+(number1, number0), 1)))"
"a string of number2 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is number0.02 , what is the probability that the string of light bulbs will fail during the time period t ?","-(1, ^(-(1, number0.02), number2))"
in a throw of dice what is the probability of ge æ « ng number greater than number0,"/(-(6, number0), 6)"
when fair coin is tossed number0 times find the probability of getting head at least once .,"-(1, ^(/(1, 2), number0))"
the probability that a number selected at random from first number0 natural numbers is a composite number is,"/(*(-(*(6, 3), 1), 2), number0)"
"if two integers x , y ( x > y ) are selected from - number0 to number1 ( inclusive ) , how many possible cases are there ?","+(+(+(+(+(+(+(number1, number0), +(number1, 2)), +(number1, 1)), number1), number0), 2), 1)"
"joe has candys on his pocket , number1 of those candies have lemon flavor , and number0 have caramel flavor . if joe take one , what is the probability that he picks one caramel flavor ?","/(number0, +(number1, number0))"
"from a pack of number1 cards , number0 card is drawn at random . what is the probability that a king is drawn ?","/(*(4, 3), number1)"
"if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land heads up exactly once in number0 consecutive flips ?","*(^(/(1, 2), number0), number0)"
"it takes number3 identical printing machines number1 hours to print number4,000 cards . how long would it take number2 of these machines to print the same total ?","+(/(number3, number1), /(number4,000, number2))"
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every number0 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in number1 attempts ?","-(1, ^(/(1, number0), number1))"
"from a pack of number1 cards , number0 card is drawn at random . what is the probability that a heart is drawn ?","/(*(4, 3), number1)"
four number0 faced dice are thrown together . the probability that all the four show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
"a string of number2 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is number0.06 , what is the probability that the string of light bulbs will fail during the time period t ?","-(1, ^(-(1, number0.06), number2))"
what is the probability of randomly selecting an arrangement of the letters of the word ` ` mediterranean ' ' in which the first letter is e and the last letter is r ?,"/(*(3, 2), *(/(26, 2), *(*(3, 2), 2)))"
"there is a number1 % chance jen will visit chile this year , while there is a number0 % chance that she will visit madagascar this year . what is the probability that jen will visit either chile or madagascar this year , but not both ? [ / b ]","*(+(*(/(-(^(*(2, const_5), 2), number1), ^(*(2, const_5), 2)), /(number0, ^(*(2, const_5), 2))), *(/(number1, ^(*(2, const_5), 2)), /(number0, ^(*(2, const_5), 2)))), ^(*(2, const_5), 2))"
"in a full deck of number1 cards , there are number0 spades . a game is played whereby a card from is chosen at random from the deck . if the card is a spade , a winner is declared . if the card is not a spade , it is returned to the deck , the deck is reshuffled and another card is drawn . this process is repeated until a spade is drawn . what is the probability that one will pick the first spade on the second draw or later ?","-(1, /(number0, number1))"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what isthe probability that theextracted ball would turn on to be white , if all possible hypothesis concerning the color of the balls that initially in the bag were equally possible ?","/(+(number0, +(/(number0, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
"if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land tails up exactly once in number0 consecutive flips ?","*(^(/(1, 2), 3), number0)"
"there is a number0 % chance jen will visit chile this year , while there is a number1 % chance that she will visit madagascar this year . what is the probability that jen will visit either chile or madagascar this year , but not both ?","*(+(*(/(-(^(*(2, const_5), 2), number0), ^(*(2, const_5), 2)), /(number1, ^(*(2, const_5), 2))), *(/(number0, ^(*(2, const_5), 2)), /(number1, ^(*(2, const_5), 2)))), ^(*(2, const_5), 2))"
"number1 ladies and number2 gentlemen are present at a party . there are number0 couples among them . if a lady and a gentleman is selected at random , what is the probability that they will be a couple ?","/(number0, *(number1, number2))"
"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a club and the second card is a king ?","*(/(+(*(3, 4), 1), const_52), /(2, const_52))"
a card is drawn from a pack of number0 cards . the probability of getting a face card ?,"/(-(number0, *(4, 4)), number0)"
"a life insurance company insured number7,000 young boys , number4,000 young girls and number6,000 young adults . the probability of death within number3 years of a young boy , young girl and a young adult are number0.02 , number0.03 and number0.number5 respectively . one insured person dies . what is the probability that the dead person is a young boy ?","/(*(number0.02, ^(const_5, 2)), +(+(*(number0.02, ^(const_5, 2)), *(number0.03, *(+(3, 4), 2))), *(^(4, 2), number0.number5)))"
"x , y , and z are all unique numbers . if x is chosen randomly from the set { number0 , number1 , number2 } and y and z are chosen randomly from the set { number3 , number4 , number5 , number6 } , what is the probability that x and y are prime and z is not ?","*(/(1, 2), /(1, 4))"
"if two integers x , y ( x > y ) are selected from - number0 to number0 ( inclusive ) , how many possible cases are there ?","+(+(+(+(+(+(+(number0, number0), +(number0, 2)), +(number0, 1)), number0), number0), 2), 1)"
"the membership of a committee consists of number1 english teachers , number2 mathematics teachers , and number0 social studies teachers . if number0 committee members are to be selected at random to write the committee ’ s report , what is the probability that the two members selected will both be maths teachers ?","*(/(number1, +(+(number1, number2), number0)), /(number0, -(+(+(number1, number2), number0), 1)))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability c that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
a card is drawn from a pack of number0 cards the probability of getting queen of club or aking of a heart ?,"/(-(number0, *(4, 4)), number0)"
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a number1 / number2 probability that task number0 will be completed on time , and a number2 / number3 probability that task number1 will be completed on time . on a certain day , what is the probability that task number0 will be completed on time , but task number1 will not ?","*(/(number1, number2), -(1, /(number2, number1)))"
"a box contains number3 black , number2 red and number1 green marbles . number0 marbles are drawn from the box at random . what is the probability that all the three marbles are of the same color ?","/(+(+(number2, number1), +(10, +(number2, number0))), *(+(10, number2), number1))"
"if a certain coin is flipped , the probability that the coin will land heads is number0 / number1 . if the coin is flipped number3 times , what is the probability that it will land heads up on the first number2 flips but not on the last flip ?","^(/(number0, number1), number3)"
